asv	origin	relative_abundance
ASV 146 Pseudolabrys	Modern marine	4.2562439098156994e-6
ASV 147 Bathyarchaeia	Modern marine	5.007345776253764e-7
ASV 148 Aminicenantales	Modern marine	1.12414912676897e-4
ASV 149 Kazania	Modern marine	1.1191417809927163e-4
ASV 150 Syntrophus	Modern marine	8.71278165068155e-5
ASV 151 Thiobacillus	Modern marine	1.1566968743146195e-4
ASV 152 Desulfobacteraceae	Modern marine	3.880692976596667e-5
ASV 153 Paraperlucidibaca	Modern marine	8.011753242006022e-6
ASV 154 Candidatus Azambacteria	Modern marine	1.1291564725452238e-4
ASV 155 Desulfoconvexum	Modern marine	1.0815866876708131e-4
ASV 156 Syntrophus	Modern marine	1.1441785098739851e-4
ASV 157 Mesorhizobium	Modern marine	1.0765793418945594e-4
ASV 158 Rhizobiaceae	Modern marine	1.061557304565798e-4
ASV 159 Candidatus Falkowbacteria	Modern marine	1.0114838468032603e-4
ASV 160 Anaerolineaceae	Modern marine	1.6023506484012048e-5
ASV 161 Lentimicrobiaceae	Modern marine	1.7275342928075486e-5
ASV 162 Paraherbaspirillum	Modern marine	1.0790830147826862e-4
ASV 163 ADurb.Bin180	Modern marine	2.5036728881268823e-6
ASV 164 Latescibacteria	Modern marine	8.387304175225056e-5
ASV 165 Woesearchaeia	Modern marine	6.835026984586388e-5
ASV 166 Ferritrophicum	Modern marine	1.7475636759125638e-4
ASV 167 WCHB1-81	Modern marine	8.988185668375508e-5
ASV 168 Thermodesulfovibrionia	Modern marine	6.484512780248624e-5
ASV 169 Pseudomonas	Modern marine	1.0290095570201485e-4
ASV 170 WCHB1-81	Modern marine	8.812928566206625e-5
ASV 171 SEEP-SRB1	Modern marine	9.739287534813571e-5
ASV 172 Kazania	Modern marine	9.639140619288496e-5
ASV 173 Candidatus Falkowbacteria	Modern marine	9.614103890407228e-5
ASV 174 Sh765B-AG-111	Modern marine	4.68186830079727e-5
ASV 175 Acinetobacter	Modern marine	7.135467731161614e-5
ASV 176 Desulfobulbaceae	Modern marine	7.936643055362216e-5
ASV 177 Candidatus Azambacteria	Modern marine	9.739287534813571e-5
ASV 178 Candidatus Azambacteria	Modern marine	8.387304175225054e-5
ASV 179 Lawsonella	Old saline	5.739856776223791e-6
ASV 180 Candidatus Falkowbacteria	Modern marine	1.0640609774539249e-4
ASV 181 Rhizobiaceae	Modern marine	9.188479499425657e-5
ASV 182 Omnitrophicaeota	Modern marine	8.512487819631399e-5
ASV 183 Zixibacteria	Modern marine	9.313663143832002e-5
ASV 184 Omnitrophicaeota	Modern marine	7.360798291093033e-5
ASV 185 Hyphomonas	Old saline	3.515662275437072e-5
ASV 186 Gracilibacteria	Modern marine	7.485981935499377e-5
