environment	sample	unfiltered	filtered	lost	retained [%]	lost [%]
Marine surface	P1313_2092	257197	252825	4372	98.30013569365117	1.6998643063488288
Marine surface	P1313_2094	547059	544168	2891	99.47153780488028	0.5284621951197153
Marine surface	P1313_2095	100953	98261	2692	97.33341257813042	2.666587421869579
Marine surface	P1313_2096	316821	278934	37887	88.04151239974622	11.958487600253775
Marine benthic	E10	179491	169096	10395	94.20862327359032	5.7913767264096805
Marine benthic	E11	207993	155142	52851	74.59001024072926	25.409989759270744
Marine benthic	E12	199998	187881	12117	93.94143941439414	6.058560585605861
Marine benthic	E19	102605	96376	6229	93.92914575313094	6.070854246869061
Marine benthic	E20	74749	68050	6699	91.0380071974207	8.961992802579303
Marine benthic	E21	69934	65515	4419	93.68118511739641	6.31881488260359
Marine benthic	E26	52481	49646	2835	94.59804500676435	5.401954993235648
Marine benthic	E27	53718	51613	2105	96.0813879891284	3.9186120108715983
Marine benthic	E28	35482	34197	1285	96.37844540893974	3.62155459106026
Marine benthic	E29	43899	41905	1994	95.4577553019431	4.542244698056905
Shallow sediment	E01	23797	22948	849	96.4323234021095	3.5676765978904967
Shallow sediment	E02	6953	6858	95	98.63368330217173	1.3663166978282675
Shallow sediment	E03	26963	26334	629	97.66717353410229	2.3328264658977105
Shallow sediment	E04	13689	11882	1807	86.79962013295346	13.200379867046536
Shallow sediment	E05	3435	2957	478	86.0844250363901	13.915574963609899
Shallow sediment	E06	4048	3992	56	98.61660079051383	1.3833992094861713
Shallow sediment	E07	1724	1607	117	93.21345707656613	6.7865429234338706
Shallow sediment	E08	3923	3840	83	97.88427224063216	2.115727759367843
Shallow sediment	E09	14336	14316	20	99.86049107142857	0.1395089285714306
Shallow sediment	E13	66023	54281	11742	82.21528861154445	17.78471138845555
Shallow sediment	E14	13292	13046	246	98.14926271441469	1.8507372855853106
Shallow sediment	E15	127986	123486	4500	96.483990436454	3.5160095635460067
Shallow sediment	E16	71178	62450	8728	87.73778414678692	12.262215853213078
Shallow sediment	E17	32238	29506	2732	91.52552887896272	8.474471121037283
Shallow sediment	E18	80044	71218	8826	88.97356453950327	11.026435460496728
Shallow sediment	E22	63242	62595	647	98.97694570064198	1.023054299358023
Shallow sediment	E23	33540	32556	984	97.06618962432916	2.933810375670845
Shallow sediment	E24	61868	60969	899	98.54690631667421	1.4530936833257897
Shallow sediment	E25	41207	40930	277	99.3277841143495	0.6722158856505018
Deep sediment	P11852_1047	17187	15594	1593	90.73136673066853	9.268633269331474
Deep sediment	P11852_1048	77806	77094	712	99.08490347788089	0.9150965221191143
Deep sediment	P11852_1049	29312	17445	11867	59.51487445414847	40.48512554585153
Deep sediment	P11852_1050	31497	19791	11706	62.83455567196876	37.16544432803124
Deep sediment	P11852_1051	9962	6783	3179	68.08873720136519	31.91126279863481
Deep sediment	P11852_1052	40399	37143	3256	91.94039456422189	8.05960543577811
Deep sediment	P11852_1053	39173	35635	3538	90.9682689607638	9.031731039236206
Deep sediment	P11852_1054	17585	16415	1170	93.34660221779926	6.6533977822007415
Deep sediment	P11852_1056	86230	81435	4795	94.4392902702076	5.560709729792407
Deep sediment	P11852_1057	46404	45576	828	98.21567106283942	1.7843289371605806
Deep sediment	P11852_1058	122331	109589	12742	89.58399751493897	10.416002485061028
Deep sediment	P11852_1059	51479	49457	2022	96.07218477437401	3.9278152256259915
Deep sediment	P11852_1060	64315	61474	2841	95.58267900178808	4.41732099821192
Deep sediment	P11852_1061	83388	82867	521	99.37520986233032	0.6247901376696774
Deep sediment	P11852_1047	17187	15594	1593	90.73136673066853	9.268633269331474
Deep sediment	P11852_1048	77806	77094	712	99.08490347788089	0.9150965221191143
Deep sediment	P11852_1049	29312	17445	11867	59.51487445414847	40.48512554585153
Deep sediment	P11852_1050	31497	19791	11706	62.83455567196876	37.16544432803124
Deep sediment	P11852_1051	9962	6783	3179	68.08873720136519	31.91126279863481
Deep sediment	P11852_1052	40399	37143	3256	91.94039456422189	8.05960543577811
Deep sediment	P11852_1053	39173	35635	3538	90.9682689607638	9.031731039236206
Deep sediment	P11852_1054	17585	16415	1170	93.34660221779926	6.6533977822007415
Deep sediment	P11852_1056	86230	81435	4795	94.4392902702076	5.560709729792407
Deep sediment	P11852_1057	46404	45576	828	98.21567106283942	1.7843289371605806
Deep sediment	P11852_1058	122331	109589	12742	89.58399751493897	10.416002485061028
Deep sediment	P11852_1059	51479	49457	2022	96.07218477437401	3.9278152256259915
Deep sediment	P11852_1060	64315	61474	2841	95.58267900178808	4.41732099821192
Deep sediment	P11852_1061	83388	82867	521	99.37520986233032	0.6247901376696774
Shallow soil	P15156_1054	18724	18679	45	99.75966673787651	0.24033326212348527
Shallow soil	P15156_1055	12725	12679	46	99.6385068762279	0.36149312377210663
Shallow soil	P15156_1056	78311	78183	128	99.83654914379845	0.16345085620154975
Shallow soil	P15156_1064	10856	10852	4	99.96315401621223	0.03684598378777082
Shallow soil	P15156_1065	12283	12255	28	99.7720426605878	0.22795733941219964
Shallow soil	P15156_1066	17777	17769	8	99.95499803116387	0.04500196883613228
Shallow soil	P15156_1067	24985	24980	5	99.97998799279569	0.02001200720431484
Shallow soil	P15156_1068	80377	80337	40	99.95023451982532	0.04976548017468474
Shallow soil	P15156_1069	71009	70958	51	99.9281781182667	0.07182188173329962
Deep soil	P15156_1057	113990	113980	10	99.9912273006404	0.008772699359596459
Deep soil	P15156_1058	20088	20088	0	100	0
Deep soil	P15156_1059	89077	89071	6	99.99326425452138	0.0067357454786218796
Meteoric	P15009_1057	75570	75554	16	99.97882757708085	0.021172422919150335
Meteoric	P15009_1059	12094	12069	25	99.79328592690591	0.20671407309409062
Meteoric	P15009_1060	54614	54594	20	99.96337935327938	0.03662064672062115
Modern marine	QK1636-S08	112193	112193	0	100	0
Modern marine	QK1636-S12	60650	60559	91	99.84995877988459	0.150041220115412
Modern marine	QK1636-S20	91152	91136	16	99.98244690187819	0.01755309812180883
Modern marine	QK1636-S24	150468	150148	320	99.78733019645372	0.21266980354627663
Modern marine	QK1636-S32	159248	159248	0	100	0
Modern marine	QK1636-S36	139795	139583	212	99.84834936871849	0.15165063128151246
Modern marine	QK1636-S37	24508	24486	22	99.91023339317773	0.08976660682226623
Modern marine	QK1636-S38	60961	60944	17	99.97211331835108	0.027886681648922718
Modern marine	QK1636-S39	46627	46582	45	99.9034893945568	0.09651060544319989
Modern marine	QK1636-S43	33283	33283	0	100	0
Modern marine	QK1636-S44	46675	46675	0	100	0
Modern marine	QK1636-S45	57382	57382	0	100	0
Modern marine	QK1636-S46	30743	30743	0	100	0
Modern marine	QK1636-S47	47106	47106	0	100	0
Modern marine	QK1636-S48	58466	58466	0	100	0
Modern marine	QK1636-S49	170218	170210	8	99.99530014452056	0.004699855479444182
Modern marine	QK1636-S50	222860	222842	18	99.99192318047204	0.008076819527957468
